,id,subj,verb,np,adjectives,prepositions,obj phrasal weight,final con,distilgpt2 sentence score,np syll,final con syll,distilgpt2_token,np len,final con len,distilgpt2 final con tokens,gpt2 sentence score,gpt2_token,gpt2 final con tokens,gpt2_med sentence score,gpt2_med_token,gpt2_med final con tokens,gpt2_large sentence score,gpt2_large_token,gpt2_large final con tokens,gpt2_xl sentence score,gpt2_xl_token,gpt2_xl final con tokens,llama_3 sentence score,llama_3_token,llama_3 final con tokens,llama_3_chat sentence score,llama_3_chat_token,llama_3_chat final con tokens,babyopt sentence score,babyopt_token,babyopt final con tokens,babyllama sentence score,babyllama_token,babyllama final con tokens,mistral_0.3 sentence score,mistral_0.3_token,mistral_0.3 final con tokens,mistral_0.3_chat sentence score,mistral_0.3_chat_token,mistral_0.3_chat final con tokens,olmo sentence score,olmo_token,olmo final con tokens,olmo_chat sentence score,olmo_chat_token,olmo_chat final con tokens,final con phrasal weight,syll_ratio,wordlength_ratio,mods_ratio,sentence_shifted,sentence_nonshifted,gpt2_score,gpt2_med_score,gpt2_large_score,gpt2_xl_score,llama_3_score,llama_3_chat_score,babyopt_score,babyllama_score,mistral_0.3_score,mistral_0.3_chat_score,olmo_score,olmo_chat_score,var,responses
10,10,Melissa,awarded,a large check from the hosts,['large'],['from the hosts'],3,at the ceremony,-6.1122543017,6,6,5,6,3,3,-5.1546918551,5,3,-5.1680622101,5,3,-5.1534381708,5,3,-5.289888978,5,3,-5.5011098568,5,3,-5.4436965356,5,3,-7.353852052,5,3,-4.8126107625,7,3,-5.3997600996,6,3,-5.4590400549,6,3,-5.4072276751,5,3,-6.8373610179,5,3,1,1.0,2.0,3,Melissa awarded at the ceremony a large check from the hosts.,Melissa awarded a large check from the hosts at the ceremony.,0.08772150670000001,0.3023037911,0.35998419930000003,0.4001799424,0.0652808042,0.4008744314,-0.1579928764,0.4533889635,0.114274942,0.0646041723,0.7119557857000001,1.1478028695,hnps,"[2.0, 2.0, 2.0, 1.0, 6.0]"
11,11,Melissa,gave,a shiny gold winning trophy for her performance,"['shiny', 'gold', 'winning']",['for her performance'],5,at the ceremony,-5.7697087697,13,6,8,8,3,3,-4.8323477336,8,3,-4.5588749477,8,3,-4.7180799416,8,3,-4.9553708349,8,3,-5.168230629,8,3,-5.3540584564,8,3,-6.8510990143,8,3,-4.7552475333,8,3,-4.9030349255,8,3,-5.1024365723,8,3,-4.8666990485,8,3,-5.4005749907,8,3,1,2.1666666667,2.6666666667,5,Melissa gave at the ceremony a shiny gold winning trophy for her performance.,Melissa gave a shiny gold winning trophy for her performance at the ceremony.,-0.045403616800000005,-0.3430558613,0.2308436121,0.1892972674,0.5461373012,0.7426530838000001,0.0388075829,0.28579539060000003,0.47082072500000005,0.5325607061000001,0.3318268231,0.4177609853,hnps,"[1.0, 3.0, 2.0, 2.0, 2.0]"
12,12,Melissa,gave,a large expensive check,"['large', 'expensive']",[],3,at the ceremony,-6.8888658524,6,6,4,4,3,3,-6.0754655838,4,3,-5.9332889557,4,3,-5.6544900417,4,3,-5.9898299217,4,3,-5.9276636297,4,3,-6.3190978657,4,3,-7.8174108158,4,3,-5.2094289606,5,3,-6.0647866076,5,3,-6.332844214,5,3,-5.6757349491,4,3,-6.5320151806,4,3,1,1.0,1.3333333333,3,Melissa gave at the ceremony a large expensive check.,Melissa gave a large expensive check at the ceremony.,0.2625339508,0.2965835571,0.4359743118,0.6076070308,0.45442624530000003,0.5851466439,0.30408165670000004,0.19862495770000002,0.4182410674,0.4383926825,0.6153275490000001,0.9004813194,hnps,"[1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 2.0]"
13,13,Melissa,awarded,a check from the organization,[],['from the organization'],2,at the ceremony,-5.8578624725,9,6,4,5,3,3,-5.0544757843,4,3,-5.1036418568,4,3,-4.7483809645,4,3,-5.0276529572,4,3,-5.1584573587,4,3,-5.0849285126,4,3,-7.0526283582,4,3,-5.2027912935,4,3,-4.9455645084,5,3,-5.1697899501,5,3,-4.8336499821,4,3,-6.1735089475,4,3,1,1.5,1.6666666667,2,Melissa awarded at the ceremony a check from the organization.,Melissa awarded a check from the organization at the ceremony.,0.0959649519,0.424301841,0.4271631241,0.6264446432,0.45856511600000005,0.6937867006,-0.15213072300000002,0.4678523144,0.5009082953,0.5575968822,0.8698787689,1.5878901048,hnps,"[4.0, 1.0, 2.0, 1.0]"
14,14,Melissa,gave,a shiny gold trophy with her name for her performance,"['shiny', 'gold']","['with her name', 'for her performance']",5,to the team,-5.3085930347,14,3,10,10,3,3,-4.597227335,10,3,-4.1833441257,10,3,-4.038820982,10,3,-4.0039578974,10,3,-4.1205977552,10,3,-4.3370612088,10,3,-6.7591215302,10,3,-4.4051514996,10,3,-4.2053998311,10,3,-4.44088361,10,3,-4.0183182359,10,3,-4.5015397072,10,3,1,4.6666666667,3.3333333333,5,Melissa gave to the team a shiny gold trophy with her name for her performance.,Melissa gave a shiny gold trophy with her name for her performance to the team.,-0.2046229839,-0.1943309308,0.020214051,-0.20675313480000002,-0.16067821840000002,-0.2522794499,-0.2929541083,-0.1172654894,0.08500586610000001,0.1132846938,-0.23650103800000002,-0.0913461745,hnps,"[4.0, 6.0, 3.0, 5.0, 5.0]"
15,15,Melissa,made,a blue cake in green frosting,['blue'],['in green frosting'],3,over the weekend,-5.6324998415,7,5,6,6,3,3,-5.1724356138,6,3,-4.6348194709,6,3,-4.3963711812,6,3,-4.5105944047,6,3,-5.2023593462,5,3,-6.0248145324,5,3,-8.2299671514,6,3,-4.8745955059,7,3,-4.3496712049,8,3,-4.580753835,8,3,-4.6276900218,6,3,-5.0782653368,6,3,1,1.4,2.0,3,Melissa made over the weekend a blue cake in green frosting.,Melissa made a blue cake in green frosting over the weekend.,0.1525570796,0.060369785,0.039074677700000005,0.3794606283,0.5620519931,0.8434973497,1.0127151013,0.3045056889,0.5720159531,0.6738653818,0.5297522178,0.6889345462,hnps,"[1.0, 2.0, 3.0, 1.0]"
16,16,Melissa,made,a sponge cake,['sponge'],[],2,in her kitchen,-6.0935387082,3,4,4,3,3,3,-5.1277637482,4,3,-4.5955920749,4,3,-4.4027581215,4,3,-4.3756605784,4,3,-4.8078595161,4,3,-4.9164222717,4,3,-8.2075821877,4,3,-4.5259736538,4,3,-3.9743427833,6,3,-4.1082294385,6,3,-4.5370992025,4,3,-5.0387075212,4,3,1,0.75,1.0,2,Melissa made in her kitchen a sponge cake.,Melissa made a sponge cake in her kitchen.,0.5352978177000001,0.4030414157,0.6437648667,0.7041210598000001,0.5366031646,0.8506777763000001,0.7254306794000001,0.6135875702,0.4480208953,0.46843377750000004,0.6407859591,0.7165901396000001,hnps,"[1.0, 1.0, 1.0, 1.0, 1.0]"
17,17,Melissa,baked,a multilevel blue vanilla sponge cake with pink bows,"['multilevel', 'blue', 'vanilla', 'sponge']",['with pink bows'],6,in her kitchen,-5.8845932904,14,4,10,9,3,3,-5.2232167861,10,3,-5.0382427889,10,3,-5.0385203081,10,3,-4.8346928148,10,3,-4.7646884388,10,3,-5.2746609582,10,3,-8.4719179471,10,3,-5.958294736,11,3,-3.7630071225,15,3,-3.8116022193,15,3,-4.511972764,10,3,-5.1536393727,10,3,1,3.5,3.0,6,Melissa baked in her kitchen a multilevel blue vanilla sponge cake with pink bows.,Melissa baked a multilevel blue vanilla sponge cake with pink bows in her kitchen.,0.13824866800000002,0.0221966014,0.1726096658,-0.1704091184,-0.0461611748,-0.0157536401,-0.0872272386,-0.0270680057,0.2576630633,0.2613572867,0.0479045756,0.09421253210000001,hnps,"[1.0, 3.0, 2.0, 1.0]"
18,18,Melissa,noticed,the tall mysterious man from the forest,"['tall', 'mysterious']",['from the forest'],4,after the party,-6.3466959733,11,5,6,7,3,3,-5.5640095931,6,3,-5.1231577947,6,3,-4.6123967904,6,3,-4.6819703762,6,3,-5.1195686885,7,3,-5.5138692175,7,3,-8.3687849726,6,3,-5.0837751116,7,3,-4.8504404,7,3,-5.0000792571,7,3,-4.5731462332,7,3,-5.0320085746,7,3,1,2.2,2.3333333333,4,Melissa noticed after the party the tall mysterious man from the forest.,Melissa noticed the tall mysterious man from the forest after the party.,0.3245033851,0.1217390208,0.14178536490000002,0.0834329311,0.320032256,0.2216369084,0.47417998310000004,0.20584576470000002,0.0987584591,-0.0232499327,0.2681308893,0.3364664958,hnps,"[3.0, 1.0, 1.0, 1.0]"
19,19,Melissa,brought,Argentinian street food,"['Argentinian', 'street']",[],3,when she arrived,-6.8727697372,6,4,6,3,3,3,-6.4919687271,6,3,-5.6816806793,6,3,-5.3592160702,6,3,-5.3518184185,6,3,-5.5057129065,6,3,-5.6075819333,6,3,-8.5217162046,6,3,-5.8165606658,7,3,-5.8673006838,6,3,-6.0151897344,6,3,-5.4488508224,6,3,-6.0673530102,6,3,1,1.5,1.0,3,Melissa brought when she arrived Argentinian street food.,Melissa brought Argentinian street food when she arrived.,0.7378959656,0.3123603821,0.7224481583,0.4648484707,0.6675933997,0.2738031546,-0.0978113521,0.5838341316,0.7756176428,0.5483643792,0.7413846015000001,0.7929691315,hnps,"[7.0, 1.0, 2.0, 1.0]"
21,21,Melissa,made,a wrapped present with red ribbon,['wrapped'],['with red ribbon'],3,over the weekend,-6.1162540118,8,5,6,6,3,3,-5.823896567,6,3,-5.5145740509,6,3,-4.844632268,6,3,-5.1073723237,6,3,-4.9863078778,5,3,-5.2760943633,5,3,-8.4451590318,6,3,-5.2442504809,7,3,-4.7679843221,7,3,-4.9645147664,7,3,-4.6622881889,6,3,-5.1175430616,6,3,1,1.6,2.0,3,Melissa made over the weekend a wrapped present with red ribbon.,Melissa made a wrapped present with red ribbon over the weekend.,0.2136796315,0.12407525380000001,0.2997028033,0.40004388490000004,0.49136176480000004,0.5240485118,-0.0022684611000000003,0.16892961350000002,0.6183925015,0.5291139398,0.2568048636,0.3289770286,hnps,"[2.0, 4.0, 1.0, 3.0, 2.0]"
22,22,Melissa,made,a wrapped birthday present with red ribbon,"['wrapped', 'birthday']",['with red ribbon'],4,over the weekend,-5.9053489978,10,5,7,7,3,3,-5.7379838503,7,3,-5.450993758,7,3,-4.9589632474,7,3,-5.1527217351,7,3,-5.0117175238,6,3,-5.4793666431,6,3,-8.4067734991,7,3,-5.0762797083,8,3,-4.7504453341,8,3,-4.928393205,8,3,-4.8508704259,7,3,-5.3121271867,7,3,1,2.0,2.3333333333,4,Melissa made over the weekend a wrapped birthday present with red ribbon.,Melissa made a wrapped birthday present with red ribbon over the weekend.,0.16996941200000001,0.0291953454,0.1522748653,0.3493247765,0.473344939,0.5382522856,0.030899286300000002,0.1523775373,0.5882868449,0.5765863101,0.1985729658,0.1054987174,hnps,"[3.0, 3.0, 1.0, 1.0, 1.0]"
23,23,Melissa,met,the tall rugged mysterious man with the axe,"['tall', 'rugged', 'mysterious']",['with the axe'],5,in the store,-6.544484411,12,3,7,8,3,3,-6.0214041301,7,3,-5.7544640132,7,3,-5.4111145905,7,3,-5.5670605728,7,3,-5.4747684161,8,3,-5.8474139849,8,3,-8.127928098,7,3,-5.199939698,9,3,-4.8023002568,10,3,-4.9828922608,10,3,-5.2230268547,8,3,-5.9005952903,8,3,1,4.0,2.6666666667,5,Melissa met in the store the tall rugged mysterious man with the axe.,Melissa met the tall rugged mysterious man with the axe in the store.,0.2600460052,0.6387860434,0.5112973622,0.9175656864,0.5490678469,0.5040047009,0.5382006327000001,0.17782431840000001,0.5014737073000001,0.516681026,0.605590037,0.7495564733000001,hnps,"[2.0, 1.0, 3.0, 1.0, 2.0]"
24,24,Melissa,gave,a trophy,[],[],1,to the team,-6.1970639229,3,3,2,2,3,3,-5.1420521736,2,3,-4.977408886,2,3,-4.5550301671,2,3,-4.5916145444,2,3,-5.1425260968,2,3,-5.1729303996,2,3,-6.6793739001,2,3,-3.9279501915,2,3,-4.9833357334,3,3,-5.265436697,3,3,-4.8359084725,2,3,-5.534014225,2,3,1,1.0,0.6666666667000001,1,Melissa gave to the team a trophy.,Melissa gave a trophy to the team.,0.5294771194,0.5025315285,0.4616269469,0.5152198672,0.3368976381,0.6013551288,0.1084557109,0.41906652450000004,0.7674902439,0.8208334446000001,0.8518888950000001,1.0469958186,hnps,"[1.0, 2.0, 7.0, 1.0, 3.0]"
25,25,Melissa,saw,the tall rugged man with the axe,"['tall', 'rugged']",['with the axe'],4,at the park,-5.972481801,8,3,6,7,3,3,-5.1702219156,6,3,-4.7722634536,6,3,-4.6043155744,6,3,-4.5913553972,6,3,-5.0903441906,7,3,-5.3017944608,7,3,-7.9766317776,6,3,-4.3558854103,8,3,-4.2958853543,9,3,-4.390640378,9,3,-4.6329969259,7,3,-5.4265193206,7,3,1,2.6666666667,2.3333333333,4,Melissa saw at the park the tall rugged man with the axe.,Melissa saw the tall rugged man with the axe at the park.,0.1547781137,0.24088404730000001,0.1960580533,0.33552606290000003,0.4913322244,0.3763218607,0.2941690172,-0.06536038720000001,0.41876664760000004,0.3957462311,0.3399031712,0.6913687633000001,hnps,"[3.0, 1.0, 2.0, 1.0, 4.0]"
27,27,Melissa,saw,her old sweet friend from high school,"['old', 'sweet']",['from high school'],4,after the party,-5.8519065563,7,5,6,7,3,3,-4.893092669,6,3,-4.7213646357,6,3,-4.5730732771,6,3,-4.4751962882,6,3,-4.8936251572,6,3,-4.9783094951,6,3,-8.3417653697,6,3,-5.0045651368,6,3,-4.7005085945,7,3,-4.7427106244,7,3,-4.554984973,6,3,-5.1474810747,6,3,1,1.4,2.3333333333,4,Melissa saw after the party her old sweet friend from high school.,Melissa saw her old sweet friend from high school after the party.,0.2625779372,0.40046525920000003,0.35644780670000004,0.3804622063,0.3908400195,0.47453233170000003,0.5933549745000001,0.1917423862,0.40009893690000004,0.3115194525,0.5092580502,0.6182829784,hnps,"[1.0, 1.0, 2.0, 1.0]"
28,28,Melissa,completed,fascinating strenuous courses for her graduate program on astronomy under the famous professor,"['fascinating', 'strenuous']","['for her graduate program', 'on astronomy', 'under the famous professor']",6,at her university,-6.6136457443,28,7,16,13,3,3,-5.9243701935,16,3,-5.8784725189,16,3,-5.6665365696,16,3,-5.8491033554,16,3,-5.6970743906,16,3,-6.0032621565,16,3,-7.9345127969,16,3,-5.2777708924,19,3,-5.1574720714,17,3,-5.3093541187,17,3,-5.2558914366,17,3,-5.6866954849,17,3,1,4.0,4.3333333333,6,Melissa completed at her university fascinating strenuous courses for her graduate program on astronomy under the famous professor.,Melissa completed fascinating strenuous courses for her graduate program on astronomy under the famous professor at her university.,0.3051490784,0.3355888366,0.3572525501,0.5641811132,0.4487338293,0.49730296360000004,0.37016282770000003,0.3140096042,0.2398212267,0.2874733262,0.35184201740000004,0.440980003,hnps,"[3.0, 1.0, 1.0, 1.0, 2.0]"
29,29,Melissa,gave,a trophy,[],[],1,for the competition,-7.0757598877,3,6,2,2,3,3,-6.1000037193,2,3,-5.9188456535,2,3,-5.4607365727,2,3,-5.6522091031,2,3,-6.19668293,2,3,-6.3728290134,2,3,-7.500872506,2,3,-4.4542809486,2,3,-5.4172501564,3,3,-5.6035456657000005,3,3,-5.8896952271,2,3,-6.5090103149,2,3,1,0.5,0.6666666667000001,1,Melissa gave for the competition a trophy.,Melissa gave a trophy for the competition.,0.6458415985,0.7671160698,0.9742705226,0.8792989254,1.0963375304,1.4960609012000001,0.41537327230000004,0.7354460239,0.9648381233000001,0.9388607025000001,1.4841171503,1.5382220149,hnps,"[1.0, 1.0, 1.0, 1.0, 1.0]"
30,30,Melissa,baked,a multilevel blue cake with her name,"['multilevel', 'blue']",['with her name'],4,for the party,-5.7503894806,10,4,8,7,3,3,-5.3162782033000004,8,3,-5.3662760417,8,3,-5.1946583748,8,3,-4.970013237,8,3,-4.7574622035,8,3,-5.2457844615,8,3,-7.9250633419,8,3,-5.7627876103,9,3,-4.4718640552,9,3,-4.6278818916,9,3,-4.8969732012,7,3,-5.6174930504,7,3,1,2.5,2.3333333333,4,Melissa baked for the party a multilevel blue cake with her name.,Melissa baked a multilevel blue cake with her name for the party.,0.5462402343,0.4412836711,0.1981011073,0.3054847082,-0.050375461600000004,-0.1245628595,-0.3280971944,0.45026424530000003,0.40641725770000003,0.3511273721,0.2820773125,0.3754393713,hnps,"[1.0, 2.0, 1.0, 1.0, 5.0]"
31,31,Melissa,met,her friend from high school,[],['from high school'],2,at the park,-5.0866811926,5,3,4,5,3,3,-4.2817668915,4,3,-4.1248690865,4,3,-4.0345959663,4,3,-3.9915759347,4,3,-4.0504924456,4,3,-4.1211841901,4,3,-7.0565925439,4,3,-4.0235240459,4,3,-4.1974490086,5,3,-4.4474997123,5,3,-4.1673129689,4,3,-4.1599219496,4,3,1,1.6666666667,1.6666666667,2,Melissa met at the park her friend from high school.,Melissa met her friend from high school at the park.,0.32301330570000003,0.7268618995,0.8015451864,1.1179222627,0.6071356932,0.8154037793000001,1.0230346918,0.3774935801,0.6865082979,0.7412450711,1.101465312,0.9125272578,hnps,"[1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0]"
32,32,Melissa,made,a multilevel vanilla sponge cake in green frosting with pink bows,"['multilevel', 'vanilla', 'sponge']","['in green frosting', 'with pink bows']",6,over the weekend,-5.668389225,17,5,13,11,3,3,-5.1584831238,13,3,-4.7514089346,13,3,-4.4152426004,13,3,-4.7151733637,13,3,-4.503187561,12,3,-5.2101834774,12,3,-8.5683233624,13,3,-5.7438855625,14,3,-3.4970538249,19,3,-3.6304696523,19,3,-4.4045495749,13,3,-4.8236479282,13,3,1,3.4,3.6666666667,6,Melissa made over the weekend a multilevel vanilla sponge cake in green frosting with pink bows.,Melissa made a multilevel vanilla sponge cake in green frosting with pink bows over the weekend.,-0.0469373703,-0.2289088011,-0.2773776293,-0.3410959959,0.0743503093,0.0491964817,0.43985689250000004,-0.0354572478,0.2054264912,0.23390891,0.1593186617,0.0133658409,hnps,"[2.0, 2.0, 1.0, 4.0]"
